Browser Size,Device Category,Users
1080x810,desktop,312
1280x960,desktop,231
2610x1610,desktop,181
1060x820,desktop,65
1920x950,desktop,44
380x550,mobile,33
1920x940,desktop,30
1920x970,desktop,26
380x640,mobile,23
410x620,mobile,20
1370x660,desktop,17
2560x1310,desktop,14
1920x1070,desktop,13
1280x620,desktop,11
1370x640,desktop,11
1540x760,desktop,11
1920x960,desktop,11
380x730,mobile,11
1540x730,desktop,10
1600x1200,desktop,9
1900x950,desktop,9
1920x990,desktop,9
360x560,mobile,9
1440x780,desktop,8
1440x800,desktop,8
2560x1300,desktop,8
380x630,mobile,8
410x600,mobile,8
1900x960,desktop,7
1920x1010,desktop,7
1920x890,desktop,7
1920x980,desktop,7
410x720,mobile,7
1280x700,desktop,6
1920x900,desktop,6
1920x930,desktop,6
1260x600,desktop,5
1280x570,desktop,5
1280x580,desktop,5
1280x590,desktop,5
1280x600,desktop,5
1350x650,desktop,5
1370x630,desktop,5
1370x770,desktop,5
1680x950,desktop,5
1680x980,desktop,5
1900x920,desktop,5
360x510,mobile,5
380x650,mobile,5
410x610,mobile,5
410x770,mobile,5
800x600,desktop,5
(not set),desktop,4
1010x670,desktop,4
1020x640,desktop,4
1020x670,tablet,4
1020x750,tablet,4
1440x770,desktop,4
1520x710,desktop,4
1520x760,desktop,4
1540x750,desktop,4
1540x770,desktop,4
1600x750,desktop,4
1660x960,desktop,4
1900x930,desktop,4
1920x1080,desktop,4
1920x1090,desktop,4
1920x920,desktop,4
2560x950,desktop,4
320x450,mobile,4
360x640,mobile,4
770x920,tablet,4
790x600,desktop,4
1020x580,desktop,3
1110x730,tablet,3
1110x810,tablet,3
1260x590,desktop,3
1260x770,desktop,3
1270x590,desktop,3
1280x1290,desktop,3
1280x640,desktop,3
1300x800,desktop,3
1350x610,desktop,3
1370x1000,tablet,3
1370x650,desktop,3
1370x670,desktop,3
1370x810,desktop,3
1370x920,tablet,3
1430x720,desktop,3
1440x720,desktop,3
1440x730,desktop,3
1440x830,desktop,3
1520x730,desktop,3
1680x930,desktop,3
1680x940,desktop,3
1900x940,desktop,3
1910x940,desktop,3
2020x1040,desktop,3
2560x940,desktop,3
360x570,mobile,3
380x590,mobile,3
380x670,mobile,3
410x660,mobile,3
1020x650,tablet,2
1020x670,desktop,2
1020x700,tablet,2
1020x770,tablet,2
1080x640,desktop,2
1140x540,desktop,2
1250x550,desktop,2
1250x590,desktop,2
1260x1330,desktop,2
1260x650,desktop,2
1260x700,desktop,2
1260x920,desktop,2
1260x930,desktop,2
1260x960,desktop,2
1270x560,desktop,2
1270x600,desktop,2
1270x690,desktop,2
1270x780,desktop,2
1270x800,desktop,2
1270x840,desktop,2
1280x610,desktop,2
1280x630,desktop,2
1280x650,desktop,2
1280x660,desktop,2
1280x680,desktop,2
1280x820,desktop,2
1280x860,desktop,2
1280x920,desktop,2
1300x1280,desktop,2
1300x1340,desktop,2
1300x640,desktop,2
1320x740,desktop,2
1340x800,desktop,2
1350x580,desktop,2
1350x600,desktop,2
1350x620,desktop,2
1350x660,desktop,2
1350x770,desktop,2
1350x790,desktop,2
1360x800,desktop,2
1370x910,tablet,2
1380x1300,desktop,2
1380x1320,desktop,2
1380x1380,desktop,2
1380x840,desktop,2
1380x850,desktop,2
1380x870,desktop,2
1400x1340,desktop,2
1400x780,desktop,2
1420x750,desktop,2
1430x730,desktop,2
1440x580,desktop,2
1440x740,desktop,2
1440x790,desktop,2
1440x840,desktop,2
1440x850,desktop,2
1520x690,desktop,2
1520x700,desktop,2
1520x750,desktop,2
