# ----------------------------------------
# All Web Site Data
# Browser Window Sizes and Device Category
# 20180621-20180921
# ----------------------------------------

Browser Size,Users
1080x810,312
1280x960,230
2610x1610,184
1060x820,72
1920x950,43
380x550,34
1920x940,30
1920x970,27
380x640,21
410x620,21
,"2,385"

Day Index,Users
6/21/18,29
6/22/18,32
6/23/18,12
6/24/18,8
6/25/18,74
6/26/18,102
6/27/18,82
6/28/18,50
6/29/18,52
6/30/18,15
7/1/18,15
7/2/18,62
7/3/18,39
7/4/18,21
7/5/18,32
7/6/18,33
7/7/18,12
7/8/18,14
7/9/18,48
7/10/18,30
7/11/18,37
7/12/18,43
7/13/18,41
7/14/18,7
7/15/18,10
7/16/18,41
7/17/18,54
7/18/18,56
7/19/18,152
7/20/18,50
7/21/18,14
7/22/18,13
7/23/18,64
7/24/18,78
7/25/18,40
7/26/18,38
7/27/18,45
7/28/18,7
7/29/18,15
7/30/18,25
7/31/18,35
8/1/18,28
8/2/18,37
8/3/18,36
8/4/18,7
8/5/18,8
8/6/18,33
8/7/18,45
8/8/18,36
8/9/18,51
8/10/18,48
8/11/18,5
8/12/18,4
8/13/18,57
8/14/18,43
8/15/18,60
8/16/18,45
8/17/18,55
8/18/18,13
8/19/18,7
8/20/18,62
8/21/18,49
8/22/18,44
8/23/18,38
8/24/18,29
8/25/18,7
8/26/18,6
8/27/18,42
8/28/18,34
8/29/18,36
8/30/18,32
8/31/18,18
9/1/18,1
9/2/18,5
9/3/18,5
9/4/18,35
9/5/18,35
9/6/18,32
9/7/18,33
9/8/18,10
9/9/18,8
9/10/18,27
9/11/18,32
9/12/18,37
9/13/18,29
9/14/18,32
9/15/18,7
9/16/18,6
9/17/18,49
9/18/18,56
9/19/18,30
9/20/18,50
9/21/18,30
,"3,191"
